id,text,amr,ground_truth,response_final,pred,response_final_amr,pred_amr,label_direct,label_amr,did_llm_failed,helpfulness
logic_test_0222,Students who want cell phones in school have no idea what they're talking about.,"(h / have-03~7
    :ARG0 (p / person~0
        :ARG0-of (s2 / study-01~0)
        :ARG0-of (w / want-01~2
            :ARG1 (p2 / phone~4
                :mod (c / cell~3))
            :location (s / school~6)))
    :ARG1 (i / idea~9
        :topic (t3 / thing~10
            :ARG1-of (t / talk-01~13
                :ARG0 (t2 / they~11))))
    :polarity -~8)
",ad hominem,"The fallacy present in the text is ""Ad Hominem."" This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case, the author dismiss",ad hominem,"The fallacy type present in the text is Ad Hominem. This is because the statement attacks the character or credibility of the students who want cell phones in school, rather than addressing the actual argument",ad hominem,1,1,0,0
logic_test_0223,"Lindsay's mom is concerned when she finds out that Lindsay skipped class one day. She tells Lindsay that she will now start skipping more frequently. Then she will drop out altogether, never graduate or get into college, and end up unemployed and living at home for the rest of her life.
What type of fallacy has Lindsay's mom committed?","(m4 / multi-sentence~15
    :snt1 (c4 / concern-01~4
        :ARG0 (f2 / find-out-03~7
            :ARG0 (p2 / person~2
                :ARG0-of (h2 / have-rel-role-91~2
                    :ARG1 (p / person~0
                        :name (n / name~0
                            :op1 ""Lindsay""~0))
                    :ARG2 (m / mom~2)))
            :ARG1 (s3 / skip-01~11
                :ARG0 p
                :ARG1 (c / class~12)
                :time (d / day~14
                    :mod (o / one~13))))
        :ARG1 p2)
    :snt2 (t / tell-01~17
        :ARG0 (s / she~16)
        :ARG1 (s5 / start-01~23
            :ARG0 p
            :ARG1 (s4 / skip-01~24
                :ARG0 p
                :ARG1-of (h / have-degree-91~25
                    :ARG2 (f3 / frequent-02~26
                        :ARG1 s4)
                    :ARG3 (m3 / more~25)))
            :time (n3 / now~22))
        :ARG2 p)
    :snt3 (a3 / and~42
        :op1 (d2 / drop-out-04~31
            :ARG0 (s2 / she~29)
            :mod (a / altogether~33))
        :op2 (o2 / or~37
            :op1 (g2 / graduate-01~36
                :ARG1 s2
                :polarity -~35
                :time (e3 / ever~35))
            :op2 (g / get-05~38
                :ARG1 s2
                :ARG2 (c2 / college~40)
                :polarity -~35))
        :op3 (e2 / end-up-03~43
            :ARG1 s2
            :ARG2 (a4 / and~46
                :op1 (e / employ-01~45
                    :ARG1 s2
                    :polarity -~35)
                :op2 (l / live-01~47
                    :ARG0 s2
                    :duration (r / rest~52
                        :part-of (l2 / live-01~55
                            :ARG0 s2))
                    :location (h4 / home~49))))
        :time (t2 / then~28))
    :snt4 (c3 / commit-02~65
        :ARG0 (p4 / person~64
            :ARG0-of (h3 / have-rel-role-91~64
                :ARG1 (p3 / person~62
                    :name (n2 / name~62
                        :op1 ""Lindsay""~62))
                :ARG2 (m2 / mom~64)))
        :ARG1 (f / fallacy~60
            :mod (t3 / type~58
                :mod (a2 / amr-unknown~57)))))
",faulty generalization,The fallacy present in the text is the Slippery Slope fallacy. This fallacy occurs when someone argues that a small action or event will inevitably lead to a series of increasingly negative consequences without,,The fallacy type present in the text is the False Causality fallacy.,false causality,0,0,1,0
logic_test_0224,The Tooth Fairy is real because nobody has proven she doesn't exist.' This is an example of which fallacy?,"(m / multi-sentence~13
    :snt1 (c / cause-01~5
        :ARG0 (p / prove-01~8
            :ARG0 (n / nobody~6)
            :ARG1 (e2 / exist-01~12
                :ARG1 (f / fair-01~2
                    :ARG1 (t2 / tooth~1))
                :polarity -~11))
        :ARG1 (r / real-04~4
            :ARG1 f))
    :snt2 (e / exemplify-01~18
        :ARG0 (t / this~15)
        :ARG1 (f2 / fallacy~21
            :mod (a / amr-unknown~20))))
",intentional,The fallacy present in the text is a Faulty Generalization.,faulty generalization,"The fallacy type present in the text is ""Faulty Generalization"".",faulty generalization,0,0,1,0
logic_test_0225,“A bank with the heart for every Filipino” - Veterans Bank,"(s / say-01~9
    :ARG0 (b / bank~2
        :name (n / name~2
            :op1 ""Veterans""~10
            :op2 ""Bank""~11)
        :ARG0-of (h / have-03~3
            :ARG1 (h2 / heart~5)))
    :ARG1 b
    :rel (l / language~8
        :name (n2 / name~8
            :op1 ""Philippines""~8)
        :mod (e / every~7)))
",appeal to emotion,"The fallacy type present in the given text is an ""Appeal to Emotion.""",appeal to emotion,"Based on the given text and its AMR, the fallacy type present in the text is ""Appeal to Emotion."" The statement ""A bank with the heart for every Filipino"" appeals to",appeal to emotion,1,1,0,0
logic_test_0226,I don't understand why you're saying I broke a promise. I said I'd never speak to my ex-girlfriend again. And I didn't. I just sent her some pictures and text messages.,"(m2 / multi-sentence~25
    :snt1 (u / understand-01~3
        :ARG0 (i / i~0)
        :ARG1 (t / thing~4
            :ARG0-of (c / cause-01~4
                :ARG1 (s / say-01~7
                    :ARG0 (y / you~5)
                    :ARG1 (b / break-18~9
                        :ARG0 i
                        :ARG1 (p3 / promise-01~11)))))
        :polarity -~2)
    :snt2 (s2 / say-01~14
        :ARG0 (i2 / i~13)
        :ARG1 (s6 / speak-01~18
            :ARG0 i2
            :ARG1 (p / person~23
                :ARG0-of (h / have-rel-role-91~23
                    :ARG1 i2
                    :ARG2 (g / girlfriend~23)
                    :time (e2 / ex~21)))
            :ARG2 p
            :mod (a / again~24)
            :polarity -~17
            :time (e / ever~17)))
    :snt3 (a2 / and~26
        :op2 (s7 / speak-01~18
            :ARG0 (i3 / i~27)
            :ARG0 (i4 / i~31)
            :polarity -~29))
    :snt4 (s3 / send-01~33
        :ARG0 i4
        :ARG1 (a3 / and~37
            :op1 (p2 / picture~36
                :quant (s4 / some~35))
            :op2 (m / message-01~39
                :quant (s5 / some~35)))
        :ARG2 p
        :mod (j / just~32)))
",equivocation,"The fallacy present in the text is the Fallacy of Relevance. Specifically, it is a form of the fallacy known as ""ignoratio elenchi"" or ""irrelevant conclusion",fallacy of relevance,The fallacy type present in the text is the Fallacy of Relevance.,fallacy of relevance,0,0,1,0
logic_test_0227,We can't believe what he says out of that ugly mouth of his.,"(p / possible-01~1
    :ARG1 (b / believe-01~3
        :ARG0 (w / we~0)
        :ARG1 (t / thing~4
            :ARG1-of (s / say-01~6
                :ARG0 (h / he~5
                    :part (m / mouth~11
                        :mod (u / ugly~10)))
                :source m)))
    :polarity -~2)
",ad hominem,"The fallacy present in the text is ""Ad Hominem.""",ad hominem,"The fallacy type present in the text is ""Ad Hominem"". This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case, the speaker",ad hominem,1,1,0,0
logic_test_0228,"“My roommate Fatima said her philosophy class was hard, and the one I’m in is hard, too. All philosophy classes must be hard!” Insisted Baneen.","(m / multi-sentence~20
    :snt1 (s / say-01~4
        :ARG0 (p / person~3
            :name (n / name~3
                :op1 ""Fatima""~3)
            :ARG0-of (h4 / have-rel-role-91~2
                :ARG1 (i / i~1)
                :ARG2 (r / roommate~2)))
        :ARG1 (a2 / and~11
            :op1 (h / hard-02~9
                :ARG1 (c / class~7
                    :ARG1-of (i2 / include-91~15
                        :ARG2 (c2 / class~7)
                        :poss (p2 / person~30
                            :name (n2 / name~30
                                :op1 ""Baneen""~30)))
                    :poss p
                    :topic (p3 / philosophy~6)))
            :op2 (h2 / hard-02~17
                :ARG1 c2
                :mod (t / too~19))))
    :snt2 (o / obligate-01~24
        :ARG1-of (i3 / insist-01~29
            :ARG0 p2)
        :ARG2 (h3 / hard-02~26
            :ARG1 (c3 / class~23
                :mod (a / all~21)
                :topic (p4 / philosophy~22)))))
",faulty generalization,The fallacy present in the text is Faulty Generalization.,faulty generalization,The fallacy type present in the text is Faulty Generalization. This is because Baneen is making a generalization that all philosophy classes must be hard based on the experiences of only two individuals,faulty generalization,1,1,0,0
logic_test_0229,"There must be objective rights and wrongs in the universe.  If not, how can you possibly say that torturing babies for fun could ever be right?","(m / multi-sentence~10
    :snt1 (o2 / obligate-01~1
        :ARG2 (a2 / and~5
            :location (u / universe~9)
            :mod (o / objective~3)
            :op1 (r2 / right-05~4)
            :op2 (w / wrong-01~6)))
    :snt2 (p / possible-01~15
        :ARG1 (s / say-01~18
            :ARG0 (y / you~16)
            :ARG1 (p2 / possible-01~24
                :ARG1 (r / right-02~27
                    :ARG1 (t / torture-01~20
                        :purpose (f / fun-01~23)
                        :ARG1 (b / baby~21))
                    :time (e / ever~25))))
        :condition (h / have-polarity-91~12
            :ARG2 -~12)
        :manner (a / amr-unknown~14)))
",appeal to emotion,The fallacy present in the text is a False Dilemma.,false dilemma,The fallacy type present in the text is the False Dilemma fallacy.,false dilemma,0,0,1,0
logic_test_0230,"Only asking 5 people their opinion about Christian Heritage and saying their opinions are the ""majority"" of people.","(a / and~9
    :mod (o / only~0)
    :op1 (a2 / ask-01~1
        :ARG1 (t / thing~5
            :ARG1-of (o2 / opine-01~5
                :ARG0 (p / person~3
                    :quant 5~2
                    :quant (m / majority~16
                        :ARG1-of (i / include-91~16
                            :ARG2 p))))
            :topic (c / culture~8
                :mod (r / religious-group~7
                    :name (n / name~7
                        :op1 ""Christian""~7))))
        :ARG2 p)
    :op2 (s / say-01~10
        :ARG1 m
        :ARG2 p))
",intentional,The fallacy type present in the text is Faulty Generalization.,faulty generalization,"The fallacy type present in the text is Faulty Generalization. This is because the text only asks 5 people their opinion about Christian Heritage and then claims that their opinions represent the ""majority",faulty generalization,0,0,1,0
logic_test_0231,"Children should not go trick or treating, as there always
exists the possibility that someone could poison the treats.","(r / recommend-01~1
    :ARG1 (g / go-02~3
        :ARG0 (c2 / child~0)
        :ARG1 (o / or~5
            :op1 (t2 / trick-01~4
                :ARG0 c2)
            :op2 (t3 / trick-01~6
                :ARG0 c2))
        :polarity -~2)
    :ARG1-of (c / cause-01~8
        :ARG0 (p2 / possible-01~13
            :ARG1 (p / poison-01~17
                :ARG0 (s / someone~15)
                :ARG1 (t / treat-03~19))
            :time (a / always~10)))
    :ARG2 c2)
",appeal to emotion,The fallacy type present in the text is a Faulty Generalization.,faulty generalization,"The fallacy type present in the text is a Faulty Generalization. This is because the argument makes a general claim that ""children should not go trick or treating"" based on the possibility that """,faulty generalization,0,0,1,0
logic_test_0232,All of those who hate the Duterte administration are CPP-NPA supporters.,"(s / support-01~12
    :ARG0 (p / person~2
        :ARG0-of (h / hate-01~4
            :ARG1 (g / government-organization~7
                :ARG0-of (a / administrate-01~7)
                :mod (p2 / person~6
                    :name (n / name~6
                        :op1 ""Duterte""~6))))
        :mod (a2 / all~0))
    :ARG0-of (h2 / have-org-role-91~9
        :ARG1 (p3 / political-party~9
            :name (n2 / name~9
                :op1 ""CPP""~9)))
    :ARG1 (g2 / government-organization~11
        :name (n3 / name~11
            :op1 ""NPA""~11)))
",faulty generalization,The fallacy present in the text is Faulty Generalization.,faulty generalization,The fallacy type present in the text is a Faulty Generalization. This is because the text makes a sweeping generalization that all individuals who hate the Duterte administration are supporters of the CPP-NPA,faulty generalization,1,1,0,0
logic_test_0233,"If this test were based on fraudulent norms, then it would be invalid. But the norms are not fraudulent. Therefore, this test is valid.","(m / multi-sentence~14
    :snt1 (v / valid-02~13
        :ARG1 (t / test-01~2
            :mod (t3 / this~1))
        :condition (b / base-02~4
            :ARG1 t
            :ARG2 (n / norm~7
                :mod (f / fraudulent~6))))
    :snt2 (c2 / contrast-01~15
        :ARG2 (f2 / fraudulent~20
            :domain (n2 / norm~17)
            :polarity -~19))
    :snt3 (c / cause-01~22
        :ARG1 (v2 / valid-02~27
            :ARG1 (t2 / test-01~25
                :mod (t4 / this~24)))))
",fallacy of logic,"The fallacy present in the text is the Fallacy of Relevance, specifically the fallacy of irrelevant conclusion.",fallacy of relevance,The fallacy type present in the text is the False Dilemma fallacy.,false dilemma,0,0,1,0
logic_test_0234,"She is good at writing because she writes words effectively.""","(c / cause-01~5
    :ARG0 (w3 / write-01~7
        :ARG0 (s / she~0)
        :ARG1 (w / word~8)
        :ARG1-of (e / effective-04~9))
    :ARG1 (g / good-03~2
        :ARG1 s
        :ARG2 (w2 / write-01~4
            :ARG0 s)))
",circular reasoning,The fallacy present in the text is a False Causality fallacy.,false causality,"The fallacy type present in the text is Faulty Generalization. This is because the statement ""She is good at writing because she writes words effectively"" makes a generalization about the person's overall",faulty generalization,0,0,1,0
logic_test_0235,"Evolution cannot be true. If it were true, we’d all be smelly apes.","(m / multi-sentence~4
    :rel (a / all~11)
    :snt1 (p / possible-01~1
        :ARG1 (t / true-01~3
            :ARG1 (e / evolution~0))
        :polarity -~1)
    :snt2 (a2 / ape~14
        :condition (t2 / true-01~8
            :ARG1 (i / it~6))
        :condition m
        :mod (s / smelly~13)))
",appeal to emotion,"The fallacy type present in the text is an example of the ""Faulty Generalization"" fallacy.",faulty generalization,"The fallacy type present in the text is a False Dilemma. This is because the argument presents a limited and false choice between evolution being true and everyone being ""smelly apes."" It",false dilemma,0,0,1,0
logic_test_0236,"company's slogan ""Eat Fresh.""","(s / slogan~2
    :poss (c / company~0)
    :topic (e / eat-01~4
        :ARG0 (y / you~4)
        :ARG1-of (f / fresh-04~5)
        :mode imperative~4))
",appeal to emotion,"The fallacy type present in the text is ""False Causality.""",false causality,"Based on the given text and its AMR, the fallacy type present in the text is not clear. The text does not contain any logical fallacies. It is simply stating the company's slogan",,0,0,1,0
logic_test_0237,"Some of you have objected to the new test batteries that were purchased for our program, alleging that they have no demonstrable validity, were not adequately normed for the kind of clients we see, and are unusable for clients who are physically disabled. What you have conveniently failed to mention, however, is that they cost less than a third of the price for the other tests we had been using, are much easier to learn, and can be administered and scored in less than half the time of the tests we used to use.","(m5 / multi-sentence~46
    :rel (v / valid-02~23
        :ARG1 (b / battery~9
            :purpose (t / test-01~8)
            :ARG1-of (n / new-01~7)
            :ARG1-of (p10 / purchase-01~12
                :purpose (p9 / program~15
                    :poss (w / we~14))))
        :ARG1-of (d / demonstrate-01~22
            :ARG1-of (p4 / possible-01~22))
        :polarity -~21)
    :rel (n2 / normal-02~28
        :ARG1 b
        :ARG2 (k / kind~31
            :mod (p2 / person~33
                :ARG1-of (s2 / see-01~35
                    :ARG0 w)))
        :manner (a / adequate~27)
        :polarity -~26)
    :rel (p5 / possible-01~39
        :ARG1 (c / client~41
            :ARG1-of (d2 / disable-01~45
                :manner (p3 / physical~44)))
        :polarity -~26)
    :rel (f / fail-01~51
        :ARG1 (y2 / you~48)
        :ARG2 (m / mention-01~53
            :ARG0 y2
            :ARG1 (a5 / and~83
                :op1 (c4 / cost-01~60
                    :ARG1 (t4 / they~59)
                    :ARG2 (p8 / product-of~64
                        :op1 (l2 / less-than~61)
                        :op1 ""1/3""~64
                        :op2 (m2 / monetary-quantity~67
                            :ARG2-of (p7 / price-01~67
                                :ARG1 (t3 / test-01~71
                                    :ARG1-of (u2 / use-01~101
                                        :ARG0 w
                                        :ARG1-of (u / use-01~99
                                            :ARG0 p2))
                                    :mod (o2 / other~70))))))
                :op2 (l / learn-01~81
                    :ARG1 t4
                    :ARG1-of (h2 / have-degree-91~79
                        :ARG2 (e / easy-05~79)
                        :ARG3 (m3 / more~79
                            :quant (m4 / much~78))))
                :op3 (p6 / possible-01~84
                    :ARG1 (a6 / and~87
                        :duration (t5 / time~94
                            :quant (l3 / less-than~90
                                :op1 (h / half~92)))
                        :op1 (a2 / administer-01~86
                            :ARG1 t4)
                        :op2 (s / score-01~88
                            :ARG1 t4)))))
        :manner (c3 / convenient~50))
    :rel (t2 / test-01~71)
    :snt1 (o / object-01~4
        :ARG0 (p / person~0
            :ARG1-of (i / include-91~0
                :ARG2 (y / you~2)
                :ARG3 (s3 / some~0)))
        :ARG1 b
        :manner (a4 / and~16
            :op1 o
            :op2 (a3 / allege-01~17
                :ARG0 p)))
    :snt2 (c2 / contrast-01~55))
",fallacy of relevance,The fallacy type present in the text is a False Dilemma.,false dilemma,"Based on the text and its AMR, the fallacy type present in the text is the False Dilemma fallacy. This fallacy occurs when only two options are presented as the only possibilities",false dilemma,0,0,1,0
logic_test_0238,"""Running a marathon is very tiring because it is so exhausting.""","(t / tire-01~6
    :ARG0 (r / run-02~1
        :ARG1 (m / marathon~3))
    :ARG1-of (c / cause-01~7
        :ARG0 (e / exhaust-01~11
            :ARG0 r
            :degree (s / so~10)))
    :degree (v / very~5))
",circular reasoning,"The fallacy type present in the text is a tautology, which is a type of circular claim.",circular reasoning,"The fallacy type present in the text is the False Causality fallacy. This is because the text suggests that running a marathon causes exhaustion, without providing any evidence or logical reasoning to support this",false causality,1,0,0,-1
logic_test_0239,Look at that face! Would anyone vote for that? Can you imagine that as the face of our next president?,"(m / multi-sentence~4
    :snt1 (l / look-01~0
        :ARG0 (y / you~0)
        :ARG1 (f / face~3
            :mod (t / that~2))
        :mode imperative~0)
    :snt2 (v / vote-01~7
        :ARG0 (a3 / anyone~6)
        :ARG1 (t2 / that~9)
        :polarity (a / amr-unknown~10))
    :snt3 (p2 / possible-01~11
        :ARG1 (i / imagine-01~13
            :ARG0 (y2 / you~12)
            :ARG1 (t3 / that~14)
            :ARG2 (f2 / face~17
                :part-of (p / person~21
                    :ARG0-of (h / have-org-role-91~21
                        :ARG1 (w / we~19)
                        :ARG2 (p3 / president~21
                            :mod (n / next~20))))))
        :polarity (a2 / amr-unknown~22)))
",ad hominem,"The fallacy present in the text is ""Ad Hominem."" This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case, the text is",ad hominem,"The fallacy type present in the text is ""Ad Hominem"". This fallacy occurs when someone attacks the person making an argument rather than addressing the argument itself. In this case, the speaker",ad hominem,1,1,0,0
logic_test_0240,They cannot take her to jail even if she did rob the bank and take millions of pesos… She is already too old and weak to be locked up.,"(p / possible-01~1
    :ARG1 (t / take-01~2
        :ARG0 (t3 / they~0)
        :ARG1 (s / she~3)
        :ARG3 (j / jail~5))
    :concession (e / even-if~6
        :op1 (a2 / and~13
            :op1 (r / rob-01~10
                :ARG0 s
                :ARG1 (b / bank~12))
            :op2 (t2 / take-01~14
                :ARG0 s
                :ARG1 (m2 / multiple~15
                    :op1 (m / monetary-quantity~15
                        :quant 1000000~15
                        :unit (d / dollar~17))))))
    :polarity -~1
    :rel (a3 / and~23
        :op1 (h / have-degree-91~21
            :ARG1 s
            :ARG2 (o / old~22)
            :ARG3 (t4 / too~21)
            :ARG6 (l / lock-up-03~27
                :ARG1 s))
        :op2 (w / weak-02~24
            :ARG1 s)
        :time (a / already~20)))
",appeal to emotion,The fallacy present in the text is an Appeal to Emotion.,appeal to emotion,The fallacy type present in the text is the Fallacy of Extension.,fallacy of extension,1,0,0,-1
logic_test_0241,Everyone knows that teenagers are lazy,"(k / know-01~1
    :ARG0 (e / everyone~0)
    :ARG1 (l / lazy~5
        :domain (t / teenager~3)))
",faulty generalization,"The fallacy type present in the text is ""Ad Populum.""",ad populum,"The fallacy type present in the text is ""Ad Populum."" This fallacy occurs when a claim is considered true or valid simply because a majority of people believe it to be true. In this",ad populum,0,0,1,0
logic_test_0242,I'd also like you to consider the possibility that these people intend to attack both Mandela and myself. That doesn't mean I'm excluding the possibility that it really is Mandela these lunatics are after. I just want you to think critically about what you are doing. Pieter van Heerden was murdered. That means there are eyes and ears everywhere. Experience has taught me that red herrings are an important part of intelligence work. Do you follow me?,"(m3 / multi-sentence~57
    :rel (a / Mandela~33)
    :snt1 (l / like-02~3
        :ARG0 (i / i~0
            :op2 (a4 / and~17
                :op1 (p2 / person~16
                    :name (n / name~16
                        :op1 ""Mandela""~16))
                :op2 i))
        :ARG1 (c / consider-02~6
            :ARG0 (y / you~4)
            :ARG1 (p5 / possible-01~8
                :ARG1 (i7 / intend-01~12
                    :ARG0 (p / person~11
                        :mod (t6 / this~10))
                    :ARG1 (a6 / attack-01~14
                        :ARG0 p
                        :ARG1 (b / both~15
                            :op1 p2)))))
        :mod (a2 / also~2))
    :snt2 (m / mean-01~23
        :ARG1 (t2 / that~20)
        :ARG2 (e4 / exclude-01~26
            :ARG0 i
            :ARG1 (p6 / possible-01~28
                :ARG1 (p3 / person~33
                    :ARG1-of (r / real-04~31)
                    :ARG1-of (s / seek-01~37
                        :ARG0 (l2 / lunatic~35
                            :mod (t7 / this~34)))
                    :domain p2)))
        :polarity -~22)
    :snt3 (m4 / murder-01~56
        :ARG1 (p4 / person~54
            :name (n2 / name~54
                :op1 ""Pieter""~52
                :op2 ""van""~53
                :op3 ""Heerden""~54)))
    :snt4 (w / want-01~41
        :ARG0 (i2 / i~39)
        :ARG1 (t5 / think-01~44
            :ARG0 (y2 / you~42)
            :ARG1 (t4 / thing~47
                :ARG1-of (d / do-02~50
                    :ARG0 y2))
            :manner (c2 / criticism-04~45
                :ARG0 y2))
        :mod (j / just~40))
    :snt5 (m2 / mean-01~59
        :ARG1 (t3 / that~58)
        :ARG2 (a5 / and~63
            :location (e3 / everywhere~65)
            :op1 (e6 / eye~62)
            :op2 (e / ear~64)))
    :snt6 (t / teach-01~69
        :ARG0 (e5 / experience-01~67)
        :ARG1 (h / have-part-91~77
            :ARG1 (w2 / work-01~80
                :ARG1 (i6 / intelligent-01~79))
            :ARG1-of (i5 / important-01~76)
            :ARG2 (e2 / earring~73
                :ARG1-of (r2 / red-02~72)))
        :ARG2 i2
        :ARG2 (i3 / i~70))
    :snt8 (f / follow-02~84
        :ARG0 (y3 / you~83)
        :ARG1 (i4 / i~85)
        :polarity (a3 / amr-unknown~82)))
",fallacy of relevance,The fallacy type present in the text is the Fallacy of Relevance.,fallacy of relevance,"Based on the given text and its AMR, the fallacy type present in the text is the Fallacy of Extension. This fallacy occurs when a generalization is made based on insufficient or biased",fallacy of extension,1,0,0,-1
logic_test_0243,"I'm tailgating her, because she cut me off!","(c2 / coattail-00~2
    :ARG0 (i / i~0)
    :ARG1 (s / she~3)
    :ARG1-of (c / cause-01~5
        :ARG0 (c3 / cut-off-04~7
            :ARG0 s
            :ARG1 i)
        :mode expressive~10))
",fallacy of relevance,The fallacy present in the text is an example of False Causality.,false causality,The fallacy type present in the text is an Ad Hominem fallacy. This is because the speaker is attacking the character or actions of the person (her) instead of addressing the actual issue,ad hominem,0,0,1,0
logic_test_0244," Doug is convinced he has lucky underwear. One time when he forgot to put on his lucky underwear, he got a parking ticket. Doug concludes that because he forgot to wear his lucky underwear, he got the ticket. Doug doesn't wash his lucky underwear often. This part isn't relevant to the example, but it is disturbing nonetheless.","(m / multi-sentence~42
    :rel (g / get-01~21
        :ARG1 (t2 / ticket-02~24
            :ARG1 (p4 / person~26
                :name (n2 / name~26
                    :op1 ""Doug""~26))
            :ARG2 (p / park-01~23))
        :time (f / forget-01~12
            :ARG0 (p3 / person~0
                :name (n / name~0
                    :op1 ""Doug""~0))
            :ARG0 p4
            :ARG1 (p6 / put-on-08~14
                :ARG0 p3
                :ARG0 p4
                :ARG1 (u2 / underwear~18
                    :mod (l2 / lucky~48)
                    :poss p3)))
        :time (o2 / one~8))
    :snt1 (c3 / convince-01~2
        :ARG1 p3
        :ARG2 (h / have-03~4
            :ARG0 p3
            :ARG1 (u / underwear~6
                :mod (l / lucky~5))))
    :snt2 (c2 / conclude-01~27
        :ARG0 p4
        :ARG1 (c / cause-01~29
            :ARG1 (g2 / get-01~39
                :ARG0 p4
                :ARG1 (t3 / ticket-02~41
                    :ARG2 p4)
                :time (f2 / forget-01~31
                    :ARG0 p4
                    :ARG1 (w2 / wear-01~33
                        :ARG0 p4
                        :ARG1 u2)))))
    :snt3 (w / wash-01~46
        :ARG0 (p5 / person~43
            :name (n3 / name~43
                :op1 ""Doug""~43))
        :ARG1 (u3 / underwear~49
            :mod l2
            :poss p5)
        :frequency (o / often~50)
        :polarity -~45)
    :snt4 (h2 / have-concession-91~61
        :ARG1 (r / relevant-01~56
            :ARG1 (p2 / part~53
                :mod (t / this~52))
            :ARG2 (e / example~59)
            :polarity -~55)
        :ARG2 (d / disturb-01~64
            :ARG0 p2)))
",false causality,The fallacy type present in the text is False Causality.,false causality,The fallacy type present in the text is False Causality.,false causality,1,1,0,0
logic_test_0245," Circular definition: a definition that is circular.
","(m / mean-01~2
    :ARG1 (d / define-01~1)
    :ARG2 (t / thing~3
        :ARG2-of (d2 / define-01~4)
        :mod (c / circular~7)))
",circular reasoning,The fallacy present in the text is Circular Claim.,circular reasoning,"The fallacy type present in the text is ""Circular Claim."" This is because the text defines ""circular definition"" as ""a definition that is circular,"" which is essentially restating the same concept",circular reasoning,1,1,0,0
logic_test_0246,"Asserting that if we allow ""A"" to happen, then ""Z"" will consequently happen too, therefore ""A"" should not happen.","(a2 / assert-02~0
    :ARG1 (c / cause-01~16
        :ARG0 (e / event~17
            :mod (t / too~18))
        :condition (a / allow-01~4
            :ARG0 (w / we~3)
            :ARG0-of (c2 / cause-01~20
                :ARG1 (r / recommend-01~24
                    :ARG1 e
                    :polarity -~25))
            :ARG1 e))
    :rel (v / variable~13
        :name (n / name~13
            :op1 ""Z""~13)
        :name (n2 / name~22
            :op1 ""A""~22)))
",faulty generalization,The fallacy present in the text is False Causality.,false causality,The fallacy type present in the text is False Causality.,false causality,0,0,1,0
logic_test_0247,Senator Curry is against the new F-99 laser fighter. I’m for it because I don’t want to leave America defenseless.,"(m / multi-sentence~11
    :snt1 (o / oppose-01~3
        :ARG0 (p / person~0
            :name (n / name~0
                :op1 ""Curry""~1)
            :ARG0-of (h / have-org-role-91~0
                :ARG2 (s / senator~0)))
        :ARG1 (a / aircraft-type~6
            :name (n2 / name~6
                :op1 ""F-35""~6)
            :ARG0-of (f / fight-01~10)
            :ARG1-of (n4 / new-01~5)
            :mod (l / laser~9)))
    :snt2 (c / cause-01~15
        :ARG0 (w / want-01~18
            :ARG0 (i / i~16)
            :ARG1 (l2 / leave-14~20
                :ARG0 i
                :ARG1 (d / defend-01~22
                    :ARG1 (c2 / country~21
                        :name (n3 / name~21
                            :op1 ""America""~21))
                    :polarity -~22)))
        :ARG1 (s2 / support-01~13
            :ARG0 i
            :ARG1 (i2 / it~14))))
",fallacy of extension,The fallacy present in the text is an Appeal to Emotion.,appeal to emotion,"The fallacy type present in the text is the False Dilemma fallacy. This fallacy occurs when only two options are presented as possibilities, when in reality there may be other alternatives. In",false dilemma,0,0,1,0
logic_test_0248,"We have to stop the tuition increase! The next thing you know, they'll be charging $40,000 a semester!","(m2 / multi-sentence~7
    :snt1 (o / obligate-01~1
        :ARG1 (w / we~0)
        :ARG2 (s2 / stop-01~3
            :ARG0 w
            :ARG1 (i / increase-01~6
                :ARG1 (t4 / tuition~5))))
    :snt2 (c / charge-01~17
        :ARG0 (t2 / they~14)
        :ARG1 (r / rate-entity-91~18
            :ARG1 (m / monetary-quantity~18
                :quant 40000~19
                :unit (d / dollar~18))
            :ARG2 (t / temporal-quantity~21
                :quant 1~21
                :unit (s / semester~21)))
        :time (t3 / thing~10
            :ARG1-of (k / know-01~12
                :ARG0 (y / you~11))
            :mod (n / next~9))))
",faulty generalization,The fallacy type present in the text is Faulty Generalization.,faulty generalization,"The fallacy type present in the text is Faulty Generalization. This is because the statement ""The next thing you know, they'll be charging $40,000 a semester!"" makes a h",faulty generalization,1,1,0,0
